Nom;Type;image_url;lien_youtube;instructions;Ingredients
Poulet Pane;Friture;https://drive.google.com/file/d/1axqFk8cra3GmicWI-u5h9A6oRfduJqaK/view?usp=drivesdk;none;none;Poulet,farine,oeuf,lait,vinaigre,poivre blanc,curry,persil,ail,huile
Couscous Nkui aux legumes;Legume;https://drive.google.com/file/d/1ZxklR34jqJNM_KmgU6f2YlK4n7kNFqtP/view?usp=drivesdk;none;couscous_nkui_aux_legumes.txt;Farine de mais,Nkui,sel gemme,vinaigre,sel,piment
Eru;Legume;https://drive.google.com/file/d/1doGvA32uB9Oid26BlQu98HnnN3tZN5O-/view?usp=drivesdk;none;none;Waterleaf,Okok,Peau de boeuf,Poisson fume,Viande de boeuf,Ecrevisse,Huile rouge,Sel,Cube,piment
Sauce Aubergine;Sauce;https://drive.google.com/file/d/1oAQTRCiUk3MBgKLW3kckORma5r895FED/view?usp=drivesdk;none;sauce_aubergine.txt;Aubergine,viande de boeuf,poisson fume,Poivre blanc,Oignon,Gingembre,ail,poireau,piment,sel,cube,huile
Koki;Mets;https://drive.google.com/file/d/12vAiW4sxaRIrqrNKIKVpKiJpoVVVmzia/view?usp=drivesdk;none;koki.txt;koki,eau,huile rouge,sel,piment,feuille de bananier
Banane malaxé;Repas;https://drive.google.com/file/d/1grxDANBVtr7SGhFFOUSryHe7GhT1HSRS/view?usp=drivesdk;none;none;Banane,arachide,poireau,celeri,basilic,oignon,gingembre,ail,sel,huile rouge,morue fume
Haricot blanc;Repas;https://drive.google.com/file/d/1s8NS1oJKP-DINz6IFJCARYeamlTHL6bU/view?usp=drivesdk;none;none;Haricot blanc,tomate,piment,viande,carotte,haricot vert,ecrevisse,poivron,poireau,ail,gingembre,baselic,oignon,sel,cube,huile
Boulettes de pommes;Friture;https://drive.google.com/file/d/1J1VtXY5jmeIcYvB4x-Idm1-GxRVGdfcV/view?usp=drivesdk;none;boulettes_de_pommes.txt;pommes de terre,carotte,persil,poivre,sel,herbe de province,farine
Legumes sautées;Legume;https://drive.google.com/file/d/16dz5vPyx5wKaT-whtK7IfSI-aBJj8YJT/view?usp=drivesdk;none;legumes_sautees.txt;legume,oignon,tomate,poivron,poireau,ecrevisse,poisson fume,ail,sel,cube,huile
Rognon de Bœuf;Sauce;https://drive.google.com/file/d/1bO6mm_WHVi_wfbIIb-10k13nWZ89a43R/view?usp=drivesdk;none;rognon_de_boeuf.txt;Rognon,oignon,ail,poivron,tomate,poivre,sel,persil
Haricot;Repas;https://drive.google.com/file/d/11A2gGqDO2n0M4d1hTGWKM1FKXXnbsU-f/view?usp=drivesdk;none;none;haricot rouge,tomate,peau de boeuf,ecrevisse,oignon,ail,poivron,poireau,gingembre,persil
Tenue Militaire;Mets;https://drive.google.com/file/d/1rnz4uKE7St4JkUTiEm8tyQmoL7Twf0IM/view?usp=drivesdk;none;tenue_militaire.txt;patate,huile rouge,sel,piment,jeune feuille de macabo,sel gemme,feuille de bananier
Omelete;Friture;https://drive.google.com/file/d/12nGCqAY9Duh3fvP2hPAhVBhM06vG0R01/view?usp=drivesdk;none;none;oeuf,spaghetti,sardine,persil,oignon,tomate,ail,cube,sel,huile
Riz sauté;Repas;https://drive.google.com/file/d/1X3j8YJ0HUImoxRtkl-JaVhtdgPmqQRup/view?usp=drivesdk;none;none;Riz,petit poie,viande,sel,tomate,oignon,carotte,huile
Muffins;Sucrerie;https://drive.google.com/file/d/1pbuY-12PDuBQ7qCXP8ht70bgpaWy918N/view?usp=drivesdk;none;muffins.txt;banane,oeuf,sucre,beurre,farine,levure chimique,bicarbonate de soude,sel,pepite de chocolat,
Crepes aux chocolat;Sucrerie;https://drive.google.com/file/d/11Jg-9li5xvmW1zD1ePHABJ8md4U89-bf/view?usp=drivesdk;none;crepes_aux_chocolat.txt;farine,oeuf,lait,beurre,sucre vanille,sel,chocolat
Croquettes;Sucrerie;https://drive.google.com/file/d/1xbuOLa8AsLScI_iE4phmX8_FAhz8g8jJ/view?usp=drivesdk;none;croquette.txt;farine,oeuf,levure chimique,lait,eau,beurre,sel,noix de muscade,sucre
Spaghetti_bolognaise;Repas;https://drive.google.com/file/d/1EiKpKAypCUXmkpHg5chDU7QwrGNlxHec/view?usp=drivesdk;https://youtu.be/SdGmeSr26OA?si=I_0SVRmGyToTDW4P;spaghetti_bolognaise.txt;viande,carotte,oignon,tomate,ail,paprika,poivre,origan,sel,huile
Kelen kelen ;Legume;https://drive.google.com/file/d/1EkOLulu1E0taYmYZLZmnb80DiSRoc33P/view?usp=drivesdk;https://youtu.be/rxpl-EzbCqU?si=GJuLnb28egYSgmf_;none;Gombo,Crabe,tomate,Ail,Oignon,Piment,Gingembre,Sel,Bicarbonate
Tiep;Repas;https://drive.google.com/file/d/1EnrKoqxGOpFD-gb6PQ-xAxCKW5xSnzOF/view?usp=drivesdk;https://youtu.be/lhsL1zKuA0c?si=1imjeZ8m4dMMTOLx;tiep.txt;riz,thiof,viande,oignon,navet,carotte,choux blanc,manioc,patate douce,dikhatô,aubergine,poisson,feuille de bissap,tomate,huile,Cube,Persil,piment,ail,Sel,Poivre
Gâteau à l'orange ;Sucrerie;https://drive.google.com/file/d/1Equ-Zplg2xNusyx3-u9ClQHBzrAeOMXm/view?usp=drivesdk;https://youtu.be/tqL0uoFWrx0?si=74vkS77BLd3W8so6;gateau_a_l'orange.txt;œuf,sucre,jus d’orange,orange,huile,farine,levure chimique,sel
Folere;Boisson ;https://drive.google.com/file/d/1EtuUwBOeOo58K23Ta6K--FdjIabaVM5Q/view?usp=drivesdk;https://youtu.be/MeRgkGXfKfc?si=fWRXGQqv9n5SnDpB;folere.txt;Folere,ananas,feuille de menthe,feuille de citronnelle,sucre  vanille,sucre,bonbon menthole
Œuf enrobé ;Friture;https://drive.google.com/file/d/1Ev4xoyqILWZhn_LZbIET--g8lVmYfbWK/view?usp=drivesdk;https://youtu.be/MxC2xLxTqQs?si=hRdnEDEso1T2xB46;oeuf_enrobe.txt;oeuf,saucisse,sel,farine,oignon,Concombre,chapelure,Huile
